Year,GSub,SJQ,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u,PRK,S,H
2006,13,ZY,4.132333333,340.249,0,27.2655,0,0.125555889,180.9769,-136.1389333,-1.08428951
2006,15,ZY,2.466666667,342.211,0,14.8555,0,0.159915372,153.918,-175.9041667,-1.09998285
2006,17,ZY,2.6325,464.2025,0,20.9145,0,0.179684562,109.0097597,-336.9107403,-1.875012169
2006,18,ZY,2.5075,462.2775,0,25.477,0,0.121130919,116.1899676,-323.1180324,-2.667510781
2006,21,ZY,2.5475,373.193,0,26.8275,0,0.119070526,46.708584,-302.204416,-2.538028731
2006,3,ZY,1.842333333,372.7516667,0,63.1815,0,0.133045631,94.2315,-217.181,-1.632379796
2006,4,ZY,4.14725,543.95625,0,5.694,0,0.127988212,235.2836,-307.1259,-2.399642086
2006,5,ZY,1.713666667,364.2256667,0,39.055,0,0.1625366,114.7087,-212.1756334,-1.305402189
2006,6,ZY,5.4015,484.7705,0,7.6285,0,0.160806351,145.64242,-336.90108,-2.095073223
2006,8,ZY,1.928,374.9086667,0,23.068,0,0.149415561,205.695,-148.0736667,-0.991019046
2006,9,ZY,3.485333333,325.1146667,0,37.4855,0,0.082977289,243.803,-47.31150003,-0.570174087
2007,10,ZY,1.627666667,327.706,0,3.212,0,0.138979427,43.33351,-282.7881567,-2.034748328
2007,13,ZY,3.754,461.5236667,0,27.2655,0,0.125555889,46.678934,-391.3332327,-3.11680508
2007,15,ZY,2.250333333,342.2106667,0,14.8555,0,0.159915372,170.403,-159.2025,-0.995542192
2007,17,ZY,2.1605,342.1475,0,20.9145,0,0.179684562,109.065363,-214.328137,-1.192802179
2007,18,ZY,2.3545,340.714,0,25.477,0,0.121130919,150.7474,-166.8441,-1.377386561
2007,21,ZY,2.5115,343.949,0,26.8275,0,0.119070526,55.2226,-264.4104,-2.220620072
2007,3,ZY,2.991666667,325.802,0,63.1815,0,0.133045631,102.017,-163.5951667,-1.229616978
2007,4,ZY,3.72775,429.10425,0,5.694,0,0.127988212,244.5457,-182.5923,-1.426633728
2007,5,ZY,2.984,326.2346667,0,39.055,0,0.1625366,177.4576,-112.7060667,-0.693419616
2007,6,ZY,6.0215,489.7275,0,7.6285,0,0.160806351,137.48674,-350.63376,-2.180472088
2007,8,ZY,1.921,365.8823333,0,23.068,0,0.149415561,44.80962,-299.9257133,-2.007325819
2007,9,ZY,2.348,325.1443333,0,37.4855,0,0.082977289,44.4295,-245.5773333,-2.959572869
2008,10,ZY,2.605,327.718,0,3.212,0,0.138979427,179.5538,-147.5572,-1.061719732
2008,13,ZY,2.453666667,368.9836667,0,27.2655,0,0.125555889,48.842659,-295.3291744,-2.352173018
2008,15,ZY,2.096666667,342.2046667,0,14.8555,0,0.159915372,150.180384,-179.2654494,-1.121001985
2008,17,ZY,3.6,342.1455,0,20.9145,0,0.179684562,134.852,-189.979,-1.057291722
2008,18,ZY,3.5795,340.682,0,25.477,0,0.121130919,191.392,-127.3925,-1.051692673
2008,21,ZY,4.789,343.7795,0,26.8275,0,0.119070526,189.024,-132.717,-1.114608329
2008,3,ZY,5.975333333,318.7953333,0,63.1815,0,0.133045631,240.872,-20.71716663,-0.155714746
2008,4,ZY,5.54325,418.06525,0,5.694,0,0.127988212,309.445,-108.4695,-0.847496018
2008,5,ZY,6.489333333,326.2886667,0,39.055,0,0.1625366,230.73,-62.99300003,-0.38756194
2008,6,ZY,11.1815,429.725,0,7.6285,0,0.160806351,204.32,-228.958,-1.423811924
2008,8,ZY,2.907,327.687,0,23.068,0,0.149415561,159.901,-147.625,-0.988016235
2008,9,ZY,2.660666667,325.1353333,0,37.4855,0,0.082977289,135.1468,-155.1637,-1.869953837
2009,10,ZY,4.294,327.7286667,0,3.212,0,0.138979427,192.8491,-135.9615667,-0.978285561
2009,13,ZY,3.496666667,340.108,0,27.2655,0,0.125555889,256.8763,-59.46286667,-0.473596795
2009,15,ZY,4.118333333,342.203,0,14.8555,0,0.159915372,279.844,-51.62183333,-0.322807199
2009,17,ZY,2.5315,342.1425,0,20.9145,0,0.179684562,154.7122,-169.0473,-0.940800357
2009,18,ZY,2.304,340.648,0,25.477,0,0.121130919,180.4307,-137.0443,-1.131373403
2009,21,ZY,5.3035,343.592,0,26.8275,0,0.119070526,300.176,-21.892,-0.183857422
2009,3,ZY,4.66,372.72,0,63.1815,0,0.133045631,211.944,-102.2545,-0.768567139
2009,4,ZY,5.0075,483.84525,0,5.694,0,0.127988212,350.761,-132.39775,-1.034452689
2009,5,ZY,4.873333333,326.3703333,0,39.055,0,0.1625366,229.394,-62.79466663,-0.386341702
2009,6,ZY,10.52,429.7165,0,7.6285,0,0.160806351,297.936,-134.672,-0.837479361
2009,8,ZY,3.415333333,327.7,0,23.068,0,0.149415561,163.0214,-145.0259333,-0.970621349
2009,9,ZY,3.293,325.1296667,0,37.4855,0,0.082977289,203.146,-87.7911667,-1.058014401
2010,10,ZY,3.503666667,318.7236667,0,3.212,0,0.138979427,-33.7864,-352.8017334,-2.538517686
2010,13,ZY,5.467666667,330.0753333,0,27.2655,0,0.125555889,149.658,-158.6195,-1.263337795
2010,15,ZY,4.413666667,332.2093333,0,14.8555,0,0.159915372,185.97,-135.7975,-0.849183529
2010,17,ZY,3.239,332.1355,0,20.9145,0,0.179684562,103.59459,-210.86541,-1.173531035
2010,18,ZY,3.07,330.657,0,25.477,0,0.121130919,161.31251,-146.93749,-1.213046935
2010,21,ZY,3.582,333.276,0,26.8275,0,0.119070526,61.2885559,-248.7419441,-2.089030363
2010,3,ZY,3.642666667,325.7526667,0,63.1815,0,0.133045631,95.5515,-170.6623334,-1.282735345
2010,4,ZY,4.4905,417.95775,0,5.694,0,0.127988212,250.0299928,-166.7242572,-1.302653226
2010,5,ZY,2.936666667,319.4416667,0,39.055,0,0.1625366,18.01945179,-265.3038816,-1.632271633
2010,6,ZY,11.5315,478.6725,0,7.6285,0,0.160806351,315.973,-166.6025,-1.036044279
2010,8,ZY,2.237,358.8886667,0,23.068,0,0.149415561,-7.7958,-345.8534667,-2.314708484
2010,9,ZY,2.724333333,316.178,0,37.4855,0,0.082977289,40.74843,-240.6684033,-2.900412947
2011,10,ZY,1.984666667,433.3823333,0,3.212,0,0.138979427,210.3325,-221.8225,-1.596081555
2011,13,ZY,4.915,378.6836667,0,27.2655,0,0.125555889,224.65,-131.6831667,-1.048801197
2011,15,ZY,3.356333333,381.2403333,0,14.8555,0,0.159915372,297.661,-72.08016663,-0.450739449
2011,17,ZY,1.6525,381.153,0,20.9145,0,0.179684562,108.9697314,-252.9212687,-1.407584858
2011,18,ZY,1.61,379.4375,0,25.477,0,0.121130919,181.5199617,-174.0505383,-1.436879532
2011,21,ZY,3.1135,382.37,0,26.8275,0,0.119070526,192.0479441,-166.6080559,-1.39923843
2011,3,ZY,3.847333333,325.7553333,0,63.1815,0,0.133045631,218.968,-47.45316663,-0.356668357
2011,4,ZY,5.666,483.73575,0,5.694,0,0.127988212,355.162,-128.54575,-1.004356167
2011,5,ZY,3.054666667,373.5463333,0,39.055,0,0.1625366,198.7942,-138.7518,-0.853664959
2011,6,ZY,11.0455,484.6405,0,7.6285,0,0.160806351,295.311,-192.7465,-1.198624922
2011,8,ZY,0.671333333,374.9746667,0,23.068,0,0.149415561,125.42891,-227.14909,-1.520250558
2011,9,ZY,2.383666667,429.875,0,37.4855,0,0.082977289,198.0612,-196.7119667,-2.370672374
2012,10,ZY,1.124333333,327.8186667,0,3.212,0,0.138979427,211.199,-114.532,-0.824093195
2012,13,ZY,5.760666667,339.8096667,0,27.2655,0,0.125555889,156.465,-161.8398334,-1.2889864
2012,15,ZY,3.985666667,342.2266667,0,14.8555,0,0.159915372,160.2,-171.1568334,-1.070296315
2012,17,ZY,3.4905,342.1365,0,20.9145,0,0.179684562,126.1402,-198.5723,-1.105116087
2012,18,ZY,3.3915,340.5905,0,25.477,0,0.121130919,180.976,-137.529,-1.135374858
2012,21,ZY,4.7995,343.1395,0,26.8275,0,0.119070526,128.456,-192.6555,-1.617994868
2012,3,ZY,4.375,325.7423333,0,63.1815,0,0.133045631,187.467,-79.4688333,-0.597305095
2012,4,ZY,5.71075,428.83875,0,5.694,0,0.127988212,317.636,-111.2195,-0.868982372
2012,5,ZY,3.990333333,326.5353333,0,39.055,0,0.1625366,158.675,-132.7956666,-0.817020084
2012,6,ZY,10.9425,429.6725,0,7.6285,0,0.160806351,311.104,-121.8825,-0.75794581
2012,8,ZY,3.711666667,327.7273333,0,23.068,0,0.149415561,202.571,-105.8,-0.708092245
2012,9,ZY,3.169666667,325.133,0,37.4855,0,0.082977289,149.473,-141.3441667,-1.703407865
