Year,SJQ,GSub,DA_RCHG,SA_IRR,REVAP,LARCHRG,Qgw,u
2009,ZY,17,2.5315,342.1425,0,20.9145,0,0.179684562
2009,ZY,18,2.304,340.648,0,25.477,0,0.121130919
2009,ZY,21,5.3035,343.592,0,26.8275,0,0.119070526
2010,ZY,3,3.642666667,325.7526667,0,63.1815,0,0.133045631
2010,ZY,4,4.4905,417.95775,0,5.694,0,0.127988212
2010,ZY,5,2.936666667,319.4416667,0,39.055,0,0.1625366
2010,ZY,6,11.5315,478.6725,0,7.6285,0,0.160806351
2010,ZY,8,2.237,358.8886667,0,23.068,0,0.149415561
2010,ZY,9,2.724333333,316.178,0,37.4855,0,0.082977289
2010,ZY,10,3.503666667,318.7236667,0,3.212,0,0.138979427
2010,ZY,13,5.467666667,330.0753333,0,27.2655,0,0.125555889
2010,ZY,15,4.413666667,332.2093333,0,14.8555,0,0.159915372
2010,ZY,17,3.239,332.1355,0,20.9145,0,0.179684562
2010,ZY,18,3.07,330.657,0,25.477,0,0.121130919
2010,ZY,21,3.582,333.276,0,26.8275,0,0.119070526
2011,ZY,3,3.847333333,325.7553333,0,63.1815,0,0.133045631
2011,ZY,4,5.666,483.73575,0,5.694,0,0.127988212
2011,ZY,5,3.054666667,373.5463333,0,39.055,0,0.1625366
2011,ZY,6,11.0455,484.6405,0,7.6285,0,0.160806351
2011,ZY,8,0.671333333,374.9746667,0,23.068,0,0.149415561
2011,ZY,9,2.383666667,429.875,0,37.4855,0,0.082977289
2011,ZY,10,1.984666667,433.3823333,0,3.212,0,0.138979427
2011,ZY,13,4.915,378.6836667,0,27.2655,0,0.125555889
2011,ZY,15,3.356333333,381.2403333,0,14.8555,0,0.159915372
2011,ZY,17,1.6525,381.153,0,20.9145,0,0.179684562
2011,ZY,18,1.61,379.4375,0,25.477,0,0.121130919
2011,ZY,21,3.1135,382.37,0,26.8275,0,0.119070526
2012,ZY,3,4.375,325.7423333,0,63.1815,0,0.133045631
2012,ZY,4,5.71075,428.83875,0,5.694,0,0.127988212
2012,ZY,5,3.990333333,326.5353333,0,39.055,0,0.1625366
2012,ZY,6,10.9425,429.6725,0,7.6285,0,0.160806351
2012,ZY,8,3.711666667,327.7273333,0,23.068,0,0.149415561
2012,ZY,9,3.169666667,325.133,0,37.4855,0,0.082977289
2012,ZY,10,1.124333333,327.8186667,0,3.212,0,0.138979427
2012,ZY,13,5.760666667,339.8096667,0,27.2655,0,0.125555889
2012,ZY,15,3.985666667,342.2266667,0,14.8555,0,0.159915372
2012,ZY,17,3.4905,342.1365,0,20.9145,0,0.179684562
2012,ZY,18,3.3915,340.5905,0,25.477,0,0.121130919
2012,ZY,21,4.7995,343.1395,0,26.8275,0,0.119070526
